Epoch,Loss
315,-7565779.111189853
316,-7568294.375698812
317,-7570793.710151505
318,-7573277.205999853
319,-7575744.961439805
320,-7578197.0139808245
321,-7580633.427700556
322,-7583054.2213221
323,-7585459.367440916
324,-7587848.92490415
325,-7590222.870095298
326,-7592581.235693378
327,-7594924.075887125
328,-7597251.428097267
329,-7599563.375544782
330,-7601859.974113183
331,-7604141.302588015
332,-7606407.381286355
333,-7608658.26854561
334,-7610894.007061917
335,-7613114.599518465
336,-7615320.039901561
337,-7617510.342994912
338,-7619685.553255319
339,-7621845.653585126
340,-7623990.723848384
341,-7626120.830308594
342,-7628236.105244495
343,-7630336.691907229
344,-7632422.797288584
345,-7634494.65087328
346,-7636552.473823981
347,-7638596.582260007
348,-7640627.259181226
349,-7642644.78900024
350,-7644649.470749856
351,-7646641.598231211
352,-7648621.447857132
353,-7650589.218202948
354,-7652545.135819575
355,-7654489.349602752
356,-7656421.974013185
357,-7658343.073387999
358,-7660252.68115064
359,-7662150.779839469
360,-7664037.295341937
361,-7665912.14751911
362,-7667775.211929227
363,-7669626.388685944
364,-7671465.54559877
365,-7673292.566194814
366,-7675107.345364456
367,-7676909.82204045
368,-7678699.927967327
369,-7680477.658543751
370,-7682243.007250568
371,-7683996.0274346545
372,-7685736.778665064
373,-7687465.336722709
374,-7689181.829439857
375,-7690886.384817267
376,-7692579.125841452
377,-7694260.185847845
378,-7695929.716080194
379,-7697587.854560275
380,-7699234.747199091
381,-7700870.530789753
382,-7702495.361339196
383,-7704109.35909506
384,-7705712.653163274
385,-7707305.393486269
386,-7708887.707129819
387,-7710459.697611565
388,-7712021.498360731
389,-7713573.238714566
390,-7715115.041696456
391,-7716647.011088921
392,-7718169.258393576
393,-7719681.920252457
394,-7721185.107891098
395,-7722678.960157268
396,-7724163.616839555
397,-7725639.211345087
398,-7727105.891773858
399,-7728563.808407755
400,-7730013.134588313
401,-7731454.028661899
402,-7732886.639031246
403,-7734311.155307345
404,-7735727.7560743615
405,-7737136.608979968
406,-7738537.890298293
407,-7739931.754091334
408,-7741318.380929725
409,-7742697.930799894
410,-7744070.569346044
411,-7745436.436277568
412,-7746795.666543809
413,-7748148.373155989
414,-7749494.658717063
415,-7750834.613300383
416,-7752168.306613
417,-7753495.781245427
418,-7754817.054416569
419,-7756132.126699459
420,-7757440.959373146
421,-7758743.514566989
422,-7760039.700994719
423,-7761329.425914945
424,-7762612.555075069
425,-7763888.968686212
426,-7765158.5035815565
427,-7766421.003251329
428,-7767676.316595257
429,-7768924.290197149
430,-7770164.784872163
431,-7771397.680693183
432,-7772622.890218477
433,-7773840.35529175
434,-7775050.055493438
435,-7776251.98661971
436,-7777446.216335605
437,-7778632.843455052
438,-7779811.991121605
439,-7780983.819654658
440,-7782148.51118673
441,-7783306.275656728
442,-7784457.309523107
443,-7785601.825490858
444,-7786740.012164236
445,-7787872.048252712
446,-7788998.081815625
447,-7790118.25034777
448,-7791232.67054016
449,-7792341.436753853
450,-7793444.62073073
451,-7794542.277725856
452,-7795634.453239609
453,-7796721.193911919
454,-7797802.549051809
455,-7798878.566993366
456,-7799949.29077134
457,-7801014.78146206
458,-7802075.103240396
459,-7803130.347938352
460,-7804180.617450794
461,-7805226.025957322
462,-7806266.707796975
463,-7807302.819996925
464,-7808334.54715081
465,-7809362.069348914
466,-7810385.59263164
467,-7811405.329693616
468,-7812421.492684979
469,-7813434.294656361
470,-7814443.947107945
471,-7815450.5997302905
472,-7816454.391169675
473,-7817455.384697961
474,-7818453.583357982
475,-7819448.920139962
476,-7820441.230536507
477,-7821430.292041319
478,-7822415.81111305
479,-7823397.440676941
480,-7824374.818684726
481,-7825347.585463832
482,-7826315.405490733
483,-7827277.995992646
484,-7828235.158064397
485,-7829186.769825455
486,-7830132.798546057
487,-7831073.298418126
488,-7832008.395168559
489,-7832938.262289507
490,-7833863.101788141
491,-7834783.145830039
492,-7835698.640597077
493,-7836609.818355801
494,-7837516.903954988
495,-7838420.111548156
496,-7839319.635756297
497,-7840215.65241704
498,-7841108.325998763
499,-7841997.812802608
